"method","model","nsim","ntrt","corr","nfail","nerror","nrej","nreji","nrejcor","npow","npowi","npowcor"
"bonf","glm",1667,25,0,0,0,23,22,1645,0,0,0
"mmm","glm",1667,25,0,0,615,17,16,1036,0,0,0
"bt","glm",1667,25,0,0,0,93,86,1581,0,0,0
"bonf","bglm",1667,25,0,0,0,23,22,1645,1,1,0
"mmm","bglm",1667,25,0,0,0,27,25,1642,2,2,0
"bt","bglm",1667,25,0,0,0,68,68,1599,2,2,0
"bonf","glm",1667,50,0,0,0,45,44,1623,0,0,0
"mmm","glm",1667,50,0,0,458,40,38,1171,0,0,0
"bt","glm",1667,50,0,0,0,98,87,1580,0,0,0
"bonf","bglm",1667,50,0,0,0,24,22,1645,15,15,0
"mmm","bglm",1667,50,0,0,0,39,36,1631,17,17,0
"bt","bglm",1667,50,0,0,0,63,58,1609,48,48,0
"bonf","glm",1667,25,0.5,0,0,41,36,1631,0,0,0
"mmm","glm",1667,25,0.5,0,692,9,9,966,0,0,0
"bt","glm",1667,25,0.5,0,0,126,97,1570,0,0,0
"bonf","bglm",1667,25,0.5,0,0,18,16,1651,0,0,0
"mmm","bglm",1667,25,0.5,0,0,23,19,1648,0,0,0
"bt","bglm",1667,25,0.5,0,0,66,53,1614,4,4,0
"bonf","glm",1667,50,0.5,0,0,80,65,1602,0,0,0
"mmm","glm",1667,50,0.5,0,440,28,27,1200,0,0,0
"bt","glm",1667,50,0.5,0,0,124,97,1570,0,0,0
"bonf","bglm",1667,50,0.5,0,0,29,24,1643,18,18,0
"mmm","bglm",1667,50,0.5,0,0,44,40,1627,20,20,0
"bt","bglm",1667,50,0.5,0,0,88,66,1601,91,81,10
"bonf","glm",1667,25,0.9,0,0,12,6,1661,0,0,0
"mmm","glm",1667,25,0.9,0,542,50,19,1106,0,0,0
"bt","glm",1667,25,0.9,0,0,285,73,1594,0,0,0
"bonf","bglm",1667,25,0.9,0,0,13,10,1657,0,0,0
"mmm","bglm",1667,25,0.9,0,0,109,37,1630,4,3,1
"bt","bglm",1667,25,0.9,0,0,155,58,1609,28,23,5
"bonf","glm",1667,50,0.9,0,0,31,13,1654,0,0,0
"mmm","glm",1667,50,0.9,0,405,133,40,1222,0,0,0
"bt","glm",1667,50,0.9,0,0,295,89,1578,6,5,1
"bonf","bglm",1667,50,0.9,0,0,27,19,1648,20,16,4
"mmm","bglm",1667,50,0.9,0,0,124,45,1622,125,82,43
"bt","bglm",1667,50,0.9,0,0,254,81,1586,291,191,100
"bonf","glm",1667,25,0,0,0,30,26,1641,0,0,0
"mmm","glm",1667,25,0,0,636,18,15,1016,0,0,0
"bt","glm",1667,25,0,0,0,87,81,1586,1,1,0
"bonf","bglm",1667,25,0,0,0,21,20,1647,0,0,0
"mmm","bglm",1667,25,0,0,0,22,22,1645,1,1,0
"bt","bglm",1667,25,0,0,0,73,69,1598,3,3,0
"bonf","glm",1667,50,0,0,0,55,51,1616,0,0,0
"mmm","glm",1667,50,0,0,483,34,33,1151,0,0,0
"bt","glm",1667,50,0,0,0,88,79,1588,0,0,0
"bonf","bglm",1667,50,0,0,0,34,33,1634,8,8,0
"mmm","bglm",1667,50,0,0,0,38,37,1630,20,20,0
"bt","bglm",1667,50,0,0,0,50,47,1620,46,46,0
"bonf","glm",1667,25,0.5,0,0,40,33,1634,0,0,0
"mmm","glm",1667,25,0.5,0,640,24,19,1008,0,0,0
"bt","glm",1667,25,0.5,0,0,120,90,1577,0,0,0
"bonf","bglm",1667,25,0.5,0,0,25,22,1645,0,0,0
"mmm","bglm",1667,25,0.5,0,0,25,22,1645,0,0,0
"bt","bglm",1667,25,0.5,0,0,75,60,1607,6,6,0
"bonf","glm",1667,50,0.5,0,0,62,46,1621,0,0,0
"mmm","glm",1667,50,0.5,0,497,41,32,1138,0,0,0
"bt","glm",1667,50,0.5,0,0,99,80,1587,0,0,0
"bonf","bglm",1667,50,0.5,0,0,44,36,1631,16,16,0
"mmm","bglm",1667,50,0.5,0,0,45,34,1633,24,21,3
"bt","bglm",1667,50,0.5,0,0,53,46,1621,65,58,7
"bonf","glm",1667,25,0.9,0,0,23,10,1657,0,0,0
"mmm","glm",1667,25,0.9,0,515,42,18,1134,0,0,0
"bt","glm",1667,25,0.9,0,0,243,84,1583,0,0,0
"bonf","bglm",1667,25,0.9,0,0,22,12,1655,0,0,0
"mmm","bglm",1667,25,0.9,0,0,108,34,1633,0,0,0
"bt","bglm",1667,25,0.9,0,0,186,60,1607,36,24,12
"bonf","glm",1667,50,0.9,0,0,42,14,1653,0,0,0
"mmm","glm",1667,50,0.9,0,446,101,35,1186,0,0,0
"bt","glm",1667,50,0.9,0,0,184,65,1602,1,1,0
"bonf","bglm",1667,50,0.9,0,0,36,13,1654,19,11,8
"mmm","bglm",1667,50,0.9,0,0,82,37,1630,108,78,30
"bt","bglm",1667,50,0.9,0,0,183,71,1596,260,166,94
"bonf","glm",1667,25,0,0,0,34,31,1636,0,0,0
"mmm","glm",1667,25,0,0,620,15,15,1032,0,0,0
"bt","glm",1667,25,0,0,0,78,71,1596,0,0,0
"bonf","bglm",1667,25,0,0,0,32,31,1636,0,0,0
"mmm","bglm",1667,25,0,0,0,26,25,1642,0,0,0
"bt","bglm",1667,25,0,0,0,61,59,1608,2,2,0
"bonf","glm",1667,50,0,0,0,50,50,1617,0,0,0
"mmm","glm",1667,50,0,0,455,50,47,1165,0,0,0
"bt","glm",1667,50,0,0,0,78,75,1592,1,1,0
"bonf","bglm",1667,50,0,0,0,19,19,1648,17,17,0
"mmm","bglm",1667,50,0,0,0,36,36,1631,12,12,0
"bt","bglm",1667,50,0,0,0,68,64,1603,47,47,0
"bonf","glm",1667,25,0.5,0,0,22,21,1646,0,0,0
"mmm","glm",1667,25,0.5,0,700,16,11,956,0,0,0
