"method","model","nsim","ntrt","corr","nfail","nerror","nrej","nreji","nrejcor","npow","npowi","npowcor"
"mmm","glm",1667,25,0.5,0,291,0,0,1376,17,15,2
"bt","glm",1667,25,0.5,0,0,0,0,1667,173,132,23
"bonf","bglm",1667,25,0.5,0,0,0,0,1667,16,15,1
"mmm","bglm",1667,25,0.5,0,0,0,0,1667,22,20,2
"bt","bglm",1667,25,0.5,0,0,5,5,1662,116,96,13
"bonf","glm",1667,50,0.5,0,0,0,0,1667,56,53,3
"mmm","glm",1667,50,0.5,0,28,0,0,1639,62,55,7
"bt","glm",1667,50,0.5,0,0,15,10,1657,195,165,19
"bonf","bglm",1667,50,0.5,0,0,0,0,1667,33,33,0
"mmm","bglm",1667,50,0.5,0,0,0,0,1667,69,62,7
"bt","bglm",1667,50,0.5,0,0,39,36,1631,163,135,19
"bonf","glm",1667,25,0.9,0,0,0,0,1667,18,15,3
"mmm","glm",1667,25,0.9,0,185,0,0,1482,51,35,10
"bt","glm",1667,25,0.9,0,0,3,2,1665,181,115,48
"bonf","bglm",1667,25,0.9,0,0,0,0,1667,19,14,5
"mmm","bglm",1667,25,0.9,0,0,1,1,1666,57,44,11
"bt","bglm",1667,25,0.9,0,0,36,13,1654,197,125,48
"bonf","glm",1667,50,0.9,0,0,0,0,1667,47,37,10
"mmm","glm",1667,50,0.9,0,17,4,1,1649,118,81,27
"bt","glm",1667,50,0.9,0,0,25,8,1659,290,180,74
"bonf","bglm",1667,50,0.9,0,0,5,2,1665,24,18,6
"mmm","bglm",1667,50,0.9,0,0,29,8,1659,100,70,24
"bt","bglm",1667,50,0.9,0,0,60,24,1643,217,142,64
"bonf","glm",1667,25,0,0,0,0,0,1667,20,19,1
"mmm","glm",1667,25,0,0,356,0,0,1311,17,17,0
"bt","glm",1667,25,0,0,0,1,1,1666,169,154,13
"bonf","bglm",1667,25,0,0,0,0,0,1667,22,21,1
"mmm","bglm",1667,25,0,0,0,0,0,1667,21,21,0
"bt","bglm",1667,25,0,0,0,27,27,1640,98,93,5
"bonf","glm",1667,50,0,0,0,0,0,1667,46,46,0
"mmm","glm",1667,50,0,0,36,0,0,1631,73,70,3
"bt","glm",1667,50,0,0,0,8,8,1659,208,187,19
"bonf","bglm",1667,50,0,0,0,1,1,1666,36,36,0
"mmm","bglm",1667,50,0,0,0,1,1,1666,33,32,1
"bt","bglm",1667,50,0,0,0,42,42,1625,173,164,7
"bonf","glm",1667,25,0.5,0,0,0,0,1667,13,13,0
"mmm","glm",1667,25,0.5,0,304,0,0,1363,11,11,0
"bt","glm",1667,25,0.5,0,0,1,1,1666,172,143,16
"bonf","bglm",1667,25,0.5,0,0,0,0,1667,14,14,0
"mmm","bglm",1667,25,0.5,0,0,1,1,1666,18,17,1
"bt","bglm",1667,25,0.5,0,0,22,17,1650,119,98,16
"bonf","glm",1667,50,0.5,0,0,0,0,1667,51,50,1
"mmm","glm",1667,50,0.5,0,22,1,1,1644,70,64,6
"bt","glm",1667,50,0.5,0,0,11,10,1657,218,185,24
"bonf","bglm",1667,50,0.5,0,0,2,2,1665,39,36,1
"mmm","bglm",1667,50,0.5,0,0,4,3,1664,63,54,9
"bt","bglm",1667,50,0.5,0,0,40,33,1634,193,168,23
"bonf","glm",1667,25,0.9,0,0,0,0,1667,32,23,9
"mmm","glm",1667,25,0.9,0,170,0,0,1497,56,41,13
"bt","glm",1667,25,0.9,0,0,2,1,1666,176,117,45
"bonf","bglm",1667,25,0.9,0,0,0,0,1667,9,7,2
"mmm","bglm",1667,25,0.9,0,0,3,1,1666,56,39,17
"bt","bglm",1667,25,0.9,0,0,36,15,1652,158,98,53
"bonf","glm",1667,50,0.9,0,0,0,0,1667,58,42,14
"mmm","glm",1667,50,0.9,0,19,0,0,1648,92,64,21
"bt","glm",1667,50,0.9,0,0,23,8,1659,306,183,83
"bonf","bglm",1667,50,0.9,0,0,1,1,1666,23,19,4
"mmm","bglm",1667,50,0.9,0,0,10,5,1662,108,70,32
"bt","bglm",1667,50,0.9,0,0,86,31,1636,235,156,64
"bonf","glm",1667,25,0,0,0,0,0,1667,14,14,0
"mmm","glm",1667,25,0,0,348,0,0,1319,19,19,0
"bt","glm",1667,25,0,0,0,0,0,1667,138,126,10
"bonf","bglm",1667,25,0,0,0,0,0,1667,10,10,0
"mmm","bglm",1667,25,0,0,0,0,0,1667,21,20,1
"bt","bglm",1667,25,0,0,0,17,17,1650,131,123,8
"bonf","glm",1667,50,0,0,0,0,0,1667,53,50,3
"mmm","glm",1667,50,0,0,35,0,0,1632,48,45,3
"bt","glm",1667,50,0,0,0,6,6,1661,226,209,15
"bonf","bglm",1667,50,0,0,0,0,0,1667,39,38,1
"mmm","bglm",1667,50,0,0,0,1,1,1666,50,49,1
"bt","bglm",1667,50,0,0,0,37,36,1631,165,159,6
"bonf","glm",1667,25,0.5,0,0,0,0,1667,27,25,2
"mmm","glm",1667,25,0.5,0,305,0,0,1362,10,10,0
"bt","glm",1667,25,0.5,0,0,1,1,1666,153,128,23
"bonf","bglm",1667,25,0.5,0,0,0,0,1667,14,14,0
"mmm","bglm",1667,25,0.5,0,0,0,0,1667,21,19,2
"bt","bglm",1667,25,0.5,0,0,19,17,1650,126,105,16
"bonf","glm",1667,50,0.5,0,0,0,0,1667,58,53,5
"mmm","glm",1667,50,0.5,0,33,1,1,1633,59,52,7
"bt","glm",1667,50,0.5,0,0,8,7,1660,200,173,18
"bonf","bglm",1667,50,0.5,0,0,0,0,1667,34,30,4
"mmm","bglm",1667,50,0.5,0,0,3,3,1664,64,60,2
"bt","bglm",1667,50,0.5,0,0,41,34,1633,204,170,24
"bonf","glm",1667,25,0.9,0,0,0,0,1667,18,15,3
"mmm","glm",1667,25,0.9,0,167,2,1,1499,50,33,13
"bt","glm",1667,25,0.9,0,0,10,2,1665,221,139,58
"bonf","bglm",1667,25,0.9,0,0,0,0,1667,25,16,9
"mmm","bglm",1667,25,0.9,0,0,5,2,1665,39,31,8
"bt","bglm",1667,25,0.9,0,0,18,9,1658,164,113,37
"bonf","glm",1667,50,0.9,0,0,0,0,1667,60,41,13
"mmm","glm",1667,50,0.9,0,22,0,0,1645,113,81,27
"bt","glm",1667,50,0.9,0,0,33,10,1657,274,178,60
"bonf","bglm",1667,50,0.9,0,0,1,1,1666,42,30,10
"mmm","bglm",1667,50,0.9,0,0,23,10,1657,115,81,28
"bt","bglm",1667,50,0.9,0,0,85,31,1636,240,152,63
"bonf","glm",1667,25,0,0,0,0,0,1667,13,13,0
"mmm","glm",1667,25,0,0,385,0,0,1282,14,14,0
"bt","glm",1667,25,0,0,0,1,1,1666,149,133,10
"bonf","bglm",1667,25,0,0,0,0,0,1667,16,15,1
"mmm","bglm",1667,25,0,0,0,0,0,1667,22,22,0
"bt","bglm",1667,25,0,0,0,21,21,1646,92,85,5
"bonf","glm",1667,50,0,0,0,0,0,1667,60,56,4
"mmm","glm",1667,50,0,0,26,0,0,1641,67,64,3
"bt","glm",1667,50,0,0,0,11,10,1657,202,182,20
"bonf","bglm",1667,50,0,0,0,0,0,1667,39,39,0
"mmm","bglm",1667,50,0,0,0,2,2,1665,32,31,1
"bt","bglm",1667,50,0,0,0,31,31,1636,156,150,6
"bonf","glm",1667,25,0.5,0,0,0,0,1667,14,13,1
"mmm","glm",1667,25,0.5,0,307,0,0,1360,19,15,4
"bt","glm",1667,25,0.5,0,0,0,0,1667,174,142,24
"bonf","bglm",1667,25,0.5,0,0,0,0,1667,17,17,0
"mmm","bglm",1667,25,0.5,0,0,0,0,1667,25,23,2
"bt","bglm",1667,25,0.5,0,0,10,10,1657,116,104,12
"bonf","glm",1667,50,0.5,0,0,0,0,1667,59,53,6
"mmm","glm",1667,50,0.5,0,28,0,0,1639,70,61,9
"bt","glm",1667,50,0.5,0,0,6,5,1662,220,179,29
"bonf","bglm",1667,50,0.5,0,0,1,1,1666,60,51,9
"mmm","bglm",1667,50,0.5,0,0,1,1,1666,58,57,1
"bt","bglm",1667,50,0.5,0,0,43,33,1634,175,153,20
"bonf","glm",1667,25,0.9,0,0,0,0,1667,26,19,7
"mmm","glm",1667,25,0.9,0,175,0,0,1492,60,41,17
"bt","glm",1667,25,0.9,0,0,2,1,1666,211,134,53
"bonf","bglm",1667,25,0.9,0,0,0,0,1667,15,11,4
"mmm","bglm",1667,25,0.9,0,0,4,1,1666,37,27,10
"bt","bglm",1667,25,0.9,0,0,32,17,1650,153,100,38
"bonf","glm",1667,50,0.9,0,0,0,0,1667,59,41,13
"mmm","glm",1667,50,0.9,0,11,2,1,1655,112,76,32
"bt","glm",1667,50,0.9,0,0,28,10,1657,262,163,65
"bonf","bglm",1667,50,0.9,0,0,0,0,1667,43,28,13
"mmm","bglm",1667,50,0.9,0,0,7,4,1663,102,74,28
"bt","bglm",1667,50,0.9,0,0,66,20,1647,246,153,60
"bonf","glm",1667,25,0,0,0,0,0,1667,19,16,3
"mmm","glm",1667,25,0,0,374,0,0,1293,15,13,2
"bt","glm",1667,25,0,0,0,0,0,1667,157,139,14
"bonf","bglm",1667,25,0,0,0,0,0,1667,16,16,0
"mmm","bglm",1667,25,0,0,0,0,0,1667,10,10,0
"bt","bglm",1667,25,0,0,0,23,22,1645,100,96,4
"bonf","glm",1667,50,0,0,0,0,0,1667,51,49,2
"mmm","glm",1667,50,0,0,32,0,0,1635,64,60,4
"bt","glm",1667,50,0,0,0,14,12,1655,167,151,12
"bonf","bglm",1667,50,0,0,0,1,1,1666,42,41,1
"mmm","bglm",1667,50,0,0,0,0,0,1667,42,41,1
"bt","bglm",1667,50,0,0,0,44,44,1623,177,165,12
"bonf","glm",1667,25,0.5,0,0,0,0,1667,25,23,2
"mmm","glm",1667,25,0.5,0,308,0,0,1359,22,22,0
"bt","glm",1667,25,0.5,0,0,0,0,1667,124,110,14
"bonf","bglm",1667,25,0.5,0,0,0,0,1667,11,11,0
"mmm","bglm",1667,25,0.5,0,0,0,0,1667,16,15,1
"bt","bglm",1667,25,0.5,0,0,23,21,1646,117,101,14
"bonf","glm",1667,50,0.5,0,0,0,0,1667,59,55,2
"mmm","glm",1667,50,0.5,0,30,1,1,1636,76,66,10
"bt","glm",1667,50,0.5,0,0,10,9,1658,224,182,31
"bonf","bglm",1667,50,0.5,0,0,1,1,1666,38,37,1
"mmm","bglm",1667,50,0.5,0,0,1,1,1666,61,56,5
"bt","bglm",1667,50,0.5,0,0,49,44,1623,180,152,22
"bonf","glm",1667,25,0.9,0,0,0,0,1667,17,12,5
"mmm","glm",1667,25,0.9,0,171,0,0,1496,64,46,16
"bt","glm",1667,25,0.9,0,0,0,0,1667,184,124,52
"bonf","bglm",1667,25,0.9,0,0,0,0,1667,31,21,10
"mmm","bglm",1667,25,0.9,0,0,0,0,1667,38,25,8
"bt","bglm",1667,25,0.9,0,0,24,6,1661,173,111,48
"bonf","glm",1667,50,0.9,0,0,0,0,1667,65,43,16
"mmm","glm",1667,50,0.9,0,16,1,1,1650,110,71,27
"bt","glm",1667,50,0.9,0,0,18,8,1659,271,173,63
"bonf","bglm",1667,50,0.9,0,0,0,0,1667,37,27,8
"mmm","bglm",1667,50,0.9,0,0,0,0,1667,101,72,22
"bt","bglm",1667,50,0.9,0,0,53,29,1638,243,157,62
